		=== gfortran: Unexpected fails for rv64gc_zba_zbb_zbc_zbs lp64d medlow  ===
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninit-max-num-chains=1 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninit-max-num-chains=1 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninit-max-num-chains=128 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninit-max-num-chains=128 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-insns=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-insns=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-insns=1000000 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-insns=1000000 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-time=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-time=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-time=1000000 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-function-time=1000000 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-insns=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-insns=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-insns=1000000 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-insns=1000000 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-time=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-time=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-time=1000000 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param uninlined-thunk-time=1000000 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param unroll-jam-min-percent=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param unroll-jam-min-percent=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param unroll-jam-min-percent=100 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param unroll-jam-min-percent=100 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param use-canonical-types=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param use-canonical-types=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param use-canonical-types=1 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param use-canonical-types=1 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-epilogues-nomask=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-epilogues-nomask=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-epilogues-nomask=1 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-epilogues-nomask=1 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-induction-float=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-induction-float=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-induction-float=1 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-induction-float=1 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-inner-loop-cost-factor=1 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-inner-loop-cost-factor=1 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-inner-loop-cost-factor=10000 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-inner-loop-cost-factor=10000 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-max-peeling-for-alignment=64 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-max-peeling-for-alignment=64 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-partial-vector-usage=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-partial-vector-usage=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-partial-vector-usage=2 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect-partial-vector-usage=2 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect_allow_possibly_not_worthwhile_vectorizations=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect_allow_possibly_not_worthwhile_vectorizations=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect_allow_possibly_not_worthwhile_vectorizations=1 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vect_allow_possibly_not_worthwhile_vectorizations=1 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vrp-cstload-limit=0 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vrp-cstload-limit=0 (test for excess errors)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vrp-cstload-limit=255 (internal compiler error: Segmentation fault)
FAIL: gcc.dg/params/blocksort-part.c -O3 --param vrp-cstload-limit=255 (test for excess errors)
FAIL: gcc.dg/torture/pr106630.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr106630.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.dg/torture/pr106630.c   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr106630.c   -O3 -g  (test for excess errors)
FAIL: gcc.dg/torture/pr46723.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr46723.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.dg/torture/pr46723.c   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr46723.c   -O3 -g  (test for excess errors)
FAIL: gcc.dg/torture/pr51070-2.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr51070-2.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.dg/torture/pr51070-2.c   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr51070-2.c   -O3 -g  (test for excess errors)
FAIL: gcc.dg/torture/pr51070.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr51070.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.dg/torture/pr51070.c   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr51070.c   -O3 -g  (test for excess errors)
FAIL: gcc.dg/torture/pr90328.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr90328.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.dg/torture/pr90328.c   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr90328.c   -O3 -g  (test for excess errors)
FAIL: gcc.dg/torture/pr94988.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr94988.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.dg/torture/pr94988.c   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: gcc.dg/torture/pr94988.c   -O3 -g  (test for excess errors)
FAIL: gcc.dg/tree-ssa/pr94125.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/tree-ssa/pr94125.c (test for excess errors)
FAIL: gcc.dg/vect/costmodel/riscv/rvv/dynamic-lmul2-2.c scan-assembler e8,m2
FAIL: gcc.dg/vect/costmodel/riscv/rvv/dynamic-lmul2-2.c scan-tree-dump-times vect "Preferring smaller LMUL loop because it has unexpected spills" 2
FAIL: gcc.dg/vect/costmodel/riscv/rvv/dynamic-lmul2-7.c scan-assembler e32,m2
FAIL: gcc.dg/vect/costmodel/riscv/rvv/dynamic-lmul4-10.c scan-assembler e32,m4
FAIL: gcc.dg/vect/costmodel/riscv/rvv/dynamic-lmul4-10.c scan-assembler-not jr
FAIL: gcc.dg/vect/costmodel/riscv/rvv/dynamic-lmul4-10.c scan-assembler-times ret 2
FAIL: gcc.dg/vect/costmodel/riscv/rvv/dynamic-lmul4-10.c scan-tree-dump-times vect "Preferring smaller LMUL loop because it has unexpected spills" 1
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113112-1.c scan-assembler e32,m4
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113112-1.c scan-tree-dump-times vect "Preferring smaller LMUL loop because it has unexpected spills" 1
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113247-1.c scan-assembler-not vset
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113247-2.c scan-assembler-not vset
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113247-3.c scan-assembler-not vset
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113247-4.c scan-assembler-not vset
XPASS: gcc.dg/vect/costmodel/riscv/rvv/pr113281-1.c scan-assembler-not vset
XPASS: gcc.dg/vect/costmodel/riscv/rvv/pr113281-2.c scan-assembler-not vset
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113281-3.c scan-assembler-not vset
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr113281-4.c scan-assembler-not vset
FAIL: gcc.dg/vect/costmodel/riscv/rvv/pr114516.c scan-tree-dump-times vect "Preferring smaller LMUL loop because it has unexpected spills" 1
FAIL: gcc.dg/vect/pr113576.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr113576.c (test for excess errors)
FAIL: gcc.dg/vect/pr113576.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr113576.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/pr118852.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr118852.c (test for excess errors)
FAIL: gcc.dg/vect/pr118852.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr118852.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/pr51581-1.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr51581-1.c (test for excess errors)
FAIL: gcc.dg/vect/pr51581-1.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr51581-1.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/pr51581-2.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr51581-2.c (test for excess errors)
FAIL: gcc.dg/vect/pr51581-2.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr51581-2.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/pr51590.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr51590.c (test for excess errors)
FAIL: gcc.dg/vect/pr51590.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr51590.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/pr53773.c -flto -ffat-lto-objects  scan-tree-dump-times optimized "\\* 10" 2
FAIL: gcc.dg/vect/pr53773.c scan-tree-dump-times optimized "\\* 10" 2
FAIL: gcc.dg/vect/pr56826.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr56826.c (test for excess errors)
FAIL: gcc.dg/vect/pr56826.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/pr56826.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/pr65310.c -flto -ffat-lto-objects  scan-tree-dump vect "can't force alignment"
FAIL: gcc.dg/vect/pr65310.c -flto -ffat-lto-objects  scan-tree-dump-not vect "misalign = 0"
FAIL: gcc.dg/vect/pr65310.c scan-tree-dump vect "can't force alignment"
FAIL: gcc.dg/vect/pr65310.c scan-tree-dump-not vect "misalign = 0"
FAIL: gcc.dg/vect/pr88598-1.c -flto -ffat-lto-objects  scan-tree-dump-not optimized "REDUC_PLUS"
FAIL: gcc.dg/vect/pr88598-1.c scan-tree-dump-not optimized "REDUC_PLUS"
FAIL: gcc.dg/vect/pr88598-2.c -flto -ffat-lto-objects  scan-tree-dump-not optimized "REDUC_PLUS"
FAIL: gcc.dg/vect/pr88598-2.c scan-tree-dump-not optimized "REDUC_PLUS"
FAIL: gcc.dg/vect/pr88598-3.c -flto -ffat-lto-objects  scan-tree-dump-not optimized "REDUC_PLUS"
FAIL: gcc.dg/vect/pr88598-3.c scan-tree-dump-not optimized "REDUC_PLUS"
FAIL: gcc.dg/vect/vect-bic-bitmask-10.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-10.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-10.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-10.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-11.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-11.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-11.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-11.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-2.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-2.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-2.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-2.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-3.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-3.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-3.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-3.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-4.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-4.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-4.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-4.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-5.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-5.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-5.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-5.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-6.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-6.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-6.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-6.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-8.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-8.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-8.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-8.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-9.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-9.c (test for excess errors)
FAIL: gcc.dg/vect/vect-bic-bitmask-9.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-bic-bitmask-9.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-early-break_130.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-early-break_130.c (test for excess errors)
FAIL: gcc.dg/vect/vect-early-break_130.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-early-break_130.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.dg/vect/vect-early-break_135-pr120143.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-early-break_135-pr120143.c (test for excess errors)
FAIL: gcc.dg/vect/vect-early-break_142-pr124034.c (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-early-break_142-pr124034.c (test for excess errors)
FAIL: gcc.dg/vect/vect-early-break_142-pr124034.c -flto -ffat-lto-objects (internal compiler error: Segmentation fault)
FAIL: gcc.dg/vect/vect-early-break_142-pr124034.c -flto -ffat-lto-objects (test for excess errors)
FAIL: gcc.target/riscv/czero-bext.c   -O0   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O0   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O0   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O1   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O1   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O1   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O2   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O2 -flto -fuse-linker-plugin -fno-fat-lto-objects   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O3 -g   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -O3 -g   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -O3 -g   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -Os   scan-assembler czero.nez\t
FAIL: gcc.target/riscv/czero-bext.c   -Os   scan-assembler sgtu\t
FAIL: gcc.target/riscv/czero-bext.c   -Os   scan-assembler-not bgtu\t
FAIL: gcc.target/riscv/ext-dce-4.c   -O0   check-function-bodies test_half_sign_needed
FAIL: gcc.target/riscv/ext-dce-4.c   -O1   check-function-bodies test_half_sign_needed
FAIL: gcc.target/riscv/ext-dce-4.c   -O2   check-function-bodies test_half_sign_needed
FAIL: gcc.target/riscv/ext-dce-4.c   -O2 -flto -fno-use-linker-plugin -flto-partition=none   check-function-bodies test_half_sign_needed
FAIL: gcc.target/riscv/ext-dce-4.c   -O3 -g   check-function-bodies test_half_sign_needed
FAIL: gcc.target/riscv/ext-dce-4.c   -Os   check-function-bodies test_half_sign_needed
FAIL: gcc.target/riscv/pr119830.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/pr119830.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions  (test for excess errors)
FAIL: gcc.target/riscv/pr119830.c   -O3 -g  (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/pr119830.c   -O3 -g  (test for excess errors)
FAIL: gcc.target/riscv/zbb-min-max-05.c   -O3 -fomit-frame-pointer -funroll-loops -fpeel-loops -ftracer -finline-functions   scan-assembler-times \\mminu 1
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=dynamic (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=dynamic (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m1 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m1 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m2 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m2 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m4 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m4 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m8 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m8 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=dynamic (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=dynamic (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m1 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m1 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m2 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m2 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m4 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m4 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m8 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv32gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m8 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=dynamic (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=dynamic (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m2 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m2 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m4 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m4 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m8 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O2 -mrvv-max-lmul=m8 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=dynamic (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=dynamic (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m2 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m2 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m4 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m4 (test for excess errors)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m8 (internal compiler error: Segmentation fault)
FAIL: gcc.target/riscv/rvv/autovec/binop/shift-scalar-rv64gcv.c -ftree-vectorize -O3 -mrvv-max-lmul=m8 (test for excess errors)
